,,,,,,,,,Monthly proportion of CVD risk assessments (corresponding to supplementary figure 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Overall,,,,,,Risk tool,,,,,,,Risk category,,,,,,,Age group,,,,,,,Gender,,,,,,,Ethnicity,,,,,,,Deprivation,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,prop_dates,users,population,proportion,,NA,prop_dates,risk_tool,users,population,proportion,,NA,prop_dates,risk_cat,total_users,total_population,proportion,,NA,prop_dates,age_group,total_users,total_population,proportion,,NA,prop_dates,Gender,total_users,total_population,proportion,,NA,prop_dates,Ethnicity,total_users,total_population,proportion,,NA,prop_dates,Deprivation,total_users,total_population,proportion
24,31/03/2011,683445,3116710,21.92841169,,24,30/11/2009,QRISK,180391,519155,34.74704086,,24,30/11/2009,<10%,286545,521144,54.98384324,,24,30/11/2009,75-84,16161,115334,14.01234675,,24,31/03/2010,Women,289266,1568344,18.44404034,,24,31/08/2009,South Asian,30059,179392,16.75604263,,24,31/08/2009,4,84252,546593,15.41402835
25,30/04/2011,685160,3115238,21.99382519,,25,31/12/2009,Framingham,327012,530384,61.65570605,,25,31/12/2009,10-19%,158793,532326,29.83002897,,25,31/12/2009,25-39,43495,855656,5.083234384,,25,30/04/2010,Men,288860,1507824,19.15740829,,25,31/08/2009,White,396302,2445841,16.20309742,,25,31/08/2009,5 - most deprived,102656,633603,16.20194349
26,31/05/2011,697598,3121635,22.34719946,,26,31/12/2009,JBS,10189,530384,1.921060967,,26,31/12/2009,20%+,79823,532326,14.99513456,,26,31/12/2009,40-74,472511,2092044,22.58609284,,26,30/04/2010,Women,292405,1566794,18.6626321,,26,30/09/2009,Black,21099,122080,17.28292923,,26,30/09/2009,1 - least deprived,106865,671205,15.92136531
27,30/06/2011,702334,3119903,22.511405,,27,31/12/2009,QRISK,193183,530384,36.42323298,,27,31/12/2009,<10%,293710,532326,55.17483647,,27,31/12/2009,75-84,16320,115704,14.10495748,,27,31/05/2010,Men,293896,1509942,19.46405888,,27,30/09/2009,Mixed,3856,28226,13.66116347,,27,30/09/2009,2,97999,623592,15.7152433
28,31/07/2011,706046,3121886,22.6160084,,28,31/01/2010,Framingham,326517,543285,60.10049974,,28,31/01/2010,10-19%,161783,545189,29.67466328,,28,31/01/2010,25-39,45607,855811,5.329097196,,28,31/05/2010,Women,298000,1569135,18.99135511,,28,30/09/2009,Other,5931,48733,12.17039788,,28,30/09/2009,3,90006,572281,15.72758837
29,31/08/2011,722763,3130660,23.08660155,,29,31/01/2010,JBS,10947,543285,2.014964521,,29,31/01/2010,20%+,82703,545189,15.16960173,,29,31/01/2010,40-74,483018,2095446,23.05084455,,29,30/06/2010,Men,297254,1510603,19.67783726,,29,30/09/2009,South Asian,30953,180611,17.13793733,,29,30/09/2009,4,85414,546050,15.64215731
30,30/09/2011,724075,3131425,23.1228594,,30,31/01/2010,QRISK,205821,543285,37.88453574,,30,31/01/2010,<10%,300703,545189,55.15573498,,30,31/01/2010,75-84,16564,116142,14.26185187,,30,30/06/2010,Women,301725,1570604,19.21076223,,30,30/09/2009,White,406270,2447725,16.59786128,,30,30/09/2009,5 - most deprived,107050,636405,16.82104949
31,31/10/2011,730633,3136140,23.29720612,,31,28/02/2010,Framingham,327373,555560,58.92666859,,31,28/02/2010,10-19%,165065,557475,29.60939952,,31,28/02/2010,25-39,45414,854477,5.314830007,,31,31/07/2010,Men,306382,1515266,20.2196842,,31,31/10/2009,Black,23669,123621,19.14642334,,31,31/10/2009,1 - least deprived,110950,672309,16.50282831
32,30/11/2011,740142,3142848,23.55004124,,32,28/02/2010,JBS,11903,555560,2.14252286,,32,28/02/2010,20%+,85425,557475,15.32355711,,32,28/02/2010,40-74,495135,2100114,23.57657727,,32,31/07/2010,Women,310684,1575652,19.71780571,,32,31/10/2009,Mixed,4219,28567,14.76878916,,32,31/10/2009,2,104071,625978,16.62534466
33,31/12/2011,741758,3141139,23.61430042,,33,28/02/2010,QRISK,216284,555560,38.93080855,,33,28/02/2010,<10%,306985,557475,55.06704337,,33,28/02/2010,75-84,16926,116724,14.50087386,,33,31/08/2010,Men,307095,1513289,20.29321564,,33,31/10/2009,Other,6775,49598,13.65982499,,33,31/10/2009,3,95805,574656,16.67171316
34,31/01/2012,753690,3147002,23.94946047,,34,31/03/2010,Framingham,326433,573810,56.88869138,,34,31/03/2010,10-19%,169312,575724,29.40853603,,34,31/03/2010,25-39,46750,853750,5.475841874,,34,31/08/2010,Women,311742,1574816,19.79545547,,34,31/10/2009,South Asian,33627,182878,18.38766828,,34,31/10/2009,4,90976,548851,16.57571909
35,29/02/2012,762780,3151856,24.20097872,,35,31/03/2010,JBS,13156,573810,2.292744985,,35,31/03/2010,20%+,89310,575724,15.51264147,,35,31/03/2010,40-74,511733,2107754,24.27859228,,35,30/09/2010,Men,311778,1516363,20.56090791,,35,31/10/2009,White,427909,2457165,17.41474423,,35,31/10/2009,5 - most deprived,116114,641499,18.10041793
36,31/03/2012,772999,3157845,24.47868721,,36,31/03/2010,QRISK,234221,573810,40.81856364,,36,31/03/2010,<10%,317102,575724,55.07882249,,36,31/03/2010,75-84,17241,117241,14.7056064,,36,30/09/2010,Women,316876,1578355,20.07634531,,36,30/11/2009,Black,23169,122965,18.8419469,,36,30/11/2009,1 - least deprived,112726,671664,16.78309393
37,30/04/2012,786070,3162805,24.85357143,,37,30/04/2010,Framingham,323221,579414,55.78411982,,37,30/04/2010,10-19%,170689,581265,29.36509165,,37,30/04/2010,25-39,46373,850736,5.450927197,,37,31/10/2010,Men,317619,1519468,20.903303,,37,30/11/2009,Mixed,4183,28601,14.62536275,,37,30/11/2009,2,105067,624628,16.8207317
38,31/05/2012,793066,3166625,25.04451901,,38,30/04/2010,JBS,13577,579414,2.343229539,,38,30/04/2010,20%+,90336,581265,15.54127635,,38,30/04/2010,40-74,517353,2106274,24.56247383,,38,31/10/2010,Women,322674,1581876,20.39818545,,38,30/11/2009,Other,6706,49607,13.51825347,,38,30/11/2009,3,95569,572963,16.67978561
39,30/06/2012,790512,3163410,24.9892363,,39,30/04/2010,QRISK,242616,579414,41.87265064,,39,30/04/2010,<10%,320240,581265,55.09363199,,39,30/04/2010,75-84,17539,117608,14.91310115,,39,30/11/2010,Men,324049,1521978,21.29130644,,39,30/11/2009,South Asian,33189,182705,18.16534851,,39,30/11/2009,4,91073,547436,16.6362826
40,31/07/2012,800390,3169878,25.24986766,,40,31/05/2010,Framingham,323866,590079,54.88519334,,40,31/05/2010,10-19%,173461,591896,29.30599294,,40,31/05/2010,25-39,46035,850178,5.414748441,,40,30/11/2010,Women,328009,1584212,20.70486778,,40,30/11/2009,White,431411,2453434,17.58396598,,40,30/11/2009,5 - most deprived,116231,640274,18.15332186
41,31/08/2012,803852,3172030,25.34187886,,41,31/05/2010,JBS,14155,590079,2.398831343,,41,31/05/2010,20%+,92781,591896,15.67521997,,41,31/05/2010,40-74,527886,2110603,25.0111461,,41,31/12/2010,Men,324077,1520055,21.32008381,,41,31/12/2009,Black,23876,123513,19.33075871,,41,31/12/2009,1 - least deprived,114963,671798,17.11273329
42,30/09/2012,808192,3175621,25.44988838,,42,31/05/2010,QRISK,252058,590079,42.71597532,,42,31/05/2010,<10%,325654,591896,55.01878708,,42,31/05/2010,75-84,17975,118296,15.19493474,,42,31/12/2010,Women,327761,1582492,20.71170028,,42,31/12/2009,Mixed,4380,28788,15.21467278,,42,31/12/2009,2,107052,624554,17.1405515
43,31/10/2012,817092,3181736,25.68069758,,43,30/06/2010,Framingham,322104,597192,53.93642246,,43,30/06/2010,10-19%,175453,598979,29.29201191,,43,30/06/2010,25-39,45958,849176,5.412070054,,43,31/01/2011,Men,327843,1520773,21.55765522,,43,31/12/2009,Other,6815,49805,13.68336512,,43,31/12/2009,3,97482,573347,17.00226913
44,30/11/2012,822138,3182542,25.83274628,,44,30/06/2010,JBS,15219,597192,2.548426637,,44,30/06/2010,20%+,94347,598979,15.75130347,,44,30/06/2010,40-74,534873,2113137,25.31179947,,44,31/01/2011,Women,331960,1584802,20.94646524,,44,31/12/2009,South Asian,33960,183616,18.49512025,,44,31/12/2009,4,93005,548011,16.97137466
45,31/12/2012,822086,3180159,25.85046848,,45,30/06/2010,QRISK,259869,597192,43.51515091,,45,30/06/2010,<10%,329179,598979,54.95668463,,45,30/06/2010,75-84,18148,118894,15.26401669,,45,28/02/2011,Men,332071,1522735,21.8075371,,45,31/12/2009,White,439922,2455045,17.91910128,,45,31/12/2009,5 - most deprived,119353,641784,18.59706693
46,31/01/2013,833411,3186883,26.15128952,,46,31/07/2010,Framingham,320392,615319,52.06925188,,46,31/07/2010,10-19%,179029,617066,29.01294189,,46,31/07/2010,25-39,47304,849503,5.568432366,,46,28/02/2011,Women,337118,1587667,21.23354583,,46,31/01/2010,Black,25445,124358,20.46108815,,46,31/01/2010,1 - least deprived,117696,672214,17.50871002
47,28/02/2013,836371,3186293,26.24902983,,47,31/07/2010,JBS,16269,615319,2.643994416,,47,31/07/2010,20%+,97357,617066,15.77740469,,47,31/07/2010,40-74,551333,2121929,25.98263184,,47,31/03/2011,Men,338853,1525074,22.21879069,,47,31/01/2010,Mixed,4478,28909,15.48998582,,47,31/01/2010,2,108483,624494,17.37134384
48,31/03/2013,835337,3183628,26.2385241,,48,31/07/2010,QRISK,278658,615319,45.2867537,,48,31/07/2010,<10%,340680,617066,55.20965342,,48,31/07/2010,75-84,18429,119486,15.42356427,,48,31/03/2011,Women,344592,1591636,21.6501763,,48,31/01/2010,Other,7016,50024,14.02526787,,48,31/01/2010,3,99924,574087,17.40572422
49,30/04/2013,840807,3183746,26.4093618,,49,31/08/2010,Framingham,318222,617122,51.56549272,,49,31/08/2010,10-19%,179792,618837,29.05320787,,49,31/08/2010,25-39,46181,847127,5.451484842,,49,30/04/2011,Men,339839,1524626,22.28999112,,49,31/01/2010,South Asian,34745,184689,18.81270677,,49,31/01/2010,4,95074,548751,17.32552651
50,31/05/2013,848560,3182977,26.65931925,,50,31/08/2010,JBS,16767,617122,2.716966823,,50,31/08/2010,20%+,98322,618837,15.88819027,,50,31/08/2010,40-74,553817,2120767,26.11399555,,50,30/04/2011,Women,345321,1590612,21.70994561,,50,31/01/2010,White,450398,2458849,18.31743226,,50,31/01/2010,5 - most deprived,123518,643944,19.18148162
51,30/06/2013,851258,3181810,26.75389165,,51,31/08/2010,QRISK,282133,617122,45.71754045,,51,31/08/2010,<10%,340723,618837,55.05860186,,51,31/08/2010,75-84,18839,120211,15.67161075,,51,31/05/2011,Men,345606,1527420,22.62678242,,51,28/02/2010,Black,25183,124155,20.28351657,,51,28/02/2010,1 - least deprived,122412,673829,18.16662684
52,31/07/2013,872819,3193082,27.33468793,,52,30/09/2010,Framingham,316558,626992,50.48836349,,52,30/09/2010,10-19%,182345,628654,29.00562153,,52,30/09/2010,25-39,45921,847615,5.417671938,,52,31/05/2011,Women,351992,1594215,22.07933058,,52,28/02/2010,Mixed,4509,28973,15.56276533,,52,28/02/2010,2,113342,626493,18.09150302
53,31/08/2013,870378,3187234,27.30825537,,53,30/09/2010,JBS,17572,626992,2.802587593,,53,30/09/2010,20%+,100304,628654,15.95535859,,53,30/09/2010,40-74,563589,2126243,26.50633065,,53,30/06/2011,Men,348004,1525680,22.80976352,,53,28/02/2010,Other,7018,50156,13.99234389,,53,28/02/2010,3,101801,574459,17.72119507
54,30/09/2013,882045,3194324,27.6128846,,54,30/09/2010,QRISK,292862,626992,46.70904892,,54,30/09/2010,<10%,346005,628654,55.03901987,,54,30/09/2010,75-84,19144,120860,15.83981466,,54,30/06/2011,Women,354330,1594223,22.2258743,,54,28/02/2010,South Asian,34988,185381,18.87356309,,54,28/02/2010,4,96268,549193,17.52899254
55,31/10/2013,892191,3199842,27.88234544,,55,31/10/2010,Framingham,316494,638663,49.55571248,,55,31/10/2010,10-19%,185138,640293,28.91457505,,55,31/10/2010,25-39,46112,848372,5.435351473,,55,31/07/2011,Men,349830,1526434,22.91812158,,55,28/02/2010,White,462528,2463375,18.7761912,,55,28/02/2010,5 - most deprived,123147,643448,19.13860949
56,30/11/2013,900958,3203701,28.12241217,,56,31/10/2010,JBS,18055,638663,2.826999529,,56,31/10/2010,20%+,103419,640293,16.15182424,,56,31/10/2010,40-74,574663,2131550,26.95986489,,56,31/07/2011,Women,356216,1595452,22.3269644,,56,31/03/2010,Black,26459,125114,21.1479131,,56,31/03/2010,1 - least deprived,125168,673890,18.57395124
57,31/12/2013,901945,3201398,28.17347296,,57,31/10/2010,QRISK,304114,638663,47.61728799,,57,31/10/2010,<10%,351736,640293,54.93360071,,57,31/10/2010,75-84,19518,121422,16.07451697,,57,31/08/2011,Men,357967,1530528,23.38846463,,57,31/03/2010,Mixed,4696,29176,16.09542089,,57,31/03/2010,2,115546,626289,18.44931014
58,31/01/2014,914588,3209830,28.493347,,58,30/11/2010,Framingham,314466,650460,48.34517111,,58,30/11/2010,10-19%,188085,652058,28.84482669,,58,30/11/2010,25-39,47036,847685,5.548759268,,58,31/08/2011,Women,364796,1600132,22.79786918,,58,31/03/2010,Other,7388,50541,14.61783503,,58,31/03/2010,3,105622,576118,18.33339698
59,28/02/2014,923590,3215102,28.72661583,,59,30/11/2010,JBS,18834,650460,2.895489346,,59,30/11/2010,20%+,105768,652058,16.22064295,,59,30/11/2010,40-74,585239,2136519,27.39217391,,59,30/09/2011,Men,358145,1530387,23.40225054,,59,31/03/2010,South Asian,36208,186841,19.37904421,,59,31/03/2010,4,99671,550889,18.09275553
60,31/03/2014,921183,3216521,28.63911039,,60,30/11/2010,QRISK,317160,650460,48.75933954,,60,30/11/2010,<10%,358205,652058,54.93453036,,60,30/11/2010,75-84,19783,121986,16.21743479,,60,30/09/2011,Women,365930,1601038,22.8557973,,60,31/03/2010,White,476890,2469236,19.31326127,,60,31/03/2010,5 - most deprived,129200,647663,19.94864613
61,30/04/2014,915868,3219214,28.45005023,,61,31/12/2010,Framingham,311228,650276,47.86090829,,61,31/12/2010,10-19%,187962,651838,28.8356923,,61,31/12/2010,25-39,46073,845435,5.44962061,,61,31/10/2011,Men,361330,1532877,23.57201524,,61,30/04/2010,Black,26312,124378,21.15486662,,61,30/04/2010,1 - least deprived,126996,673382,18.85942897
62,31/05/2014,909366,3224569,28.20116425,,62,31/12/2010,JBS,19164,650276,2.947056327,,62,31/12/2010,20%+,106004,651838,16.26232285,,62,31/12/2010,40-74,585789,2134647,27.44196113,,62,31/10/2011,Women,369303,1603263,23.03446159,,62,30/04/2010,Mixed,4748,29157,16.28425421,,62,30/04/2010,2,117351,626039,18.74499831
